id,fenlei,descrtion
47633,1,很棒 岛上很漂亮 吃喝都有
47694,1,订船票和表演就可以了，不要订吃的套餐，不好吃，自己上岛点，价格不贵。
47941,1,包含的午餐味道真的好棒！原以为是应付了事，结果棒棒哒
47958,1,景色很美，海天一色。有家台湾小吃店味道不错，卤肉饭、陵水酸粉、菠萝饭都好吃。
48078,1,家庭自驾游，方便快捷，景区餐饮发达，水上游玩项目价格算贵的。
48073,1,这是自驾游中，感觉真的很不错的哈
48077,1,景区风景不错，停车方便，停车收费按次5元。
48185,1,自驾车去的码头，岛上景区风景非常好，取票方便快捷。会推荐朋友们去玩，非常满意。
47638,1,不错，整体感觉还是比较愉快的！
47693,1,带孩子看看这个不错 玩的很开心
47712,1,挺不错的体验，游玩的非常开心
48015,1,不错的地方，适合全家半日游
48017,1,感觉还可以，值得一去
48041,1,不错，值得一来，个人感觉比蜈支洲岛好，孩子玩的很高兴，岛上吃的也很丰富，居然还有我稀罕的沙县小吃，停车很方便，水也很透彻，还有海豚表演，很适合带小孩来，并且可以和海狮亲密接触，需要付费30，价格真心不贵，下次还会来!
48088,1,整体还不错，下次再来
48110,1,不错的选择，适合男女老少
48147,1,非常不错，环境很好，值得去看看
48152,1,分界洲岛的海很美，海水清澈见底，躺在吊床上晒着太阳吹着海风，真是好享受，值得推荐的好去处。
48171,1,环境好，可以游玩的项目多，是个不错的旅游和度假天堂。
48187,1,分界洲岛很美哒，特别是海水，偶是海南人，也为拥有这样的大海而骄傲！下次有空我一定还要再去哒，把没玩的海上项目都狠狠地玩一遍！
48203,1,挺美的！水比蜈支洲岛得更清澈！海很美！！
48212,1,今天我们一家人出游到分界洲岛，那里景色迷人，空气清新，还有许多的情侣再次拍婚纱照，我们一家人玩的很是开心！
48355,1,景色相当的美，可以和天涯海角媲美了，山上的鸟巢别墅群很多很多，有幸进去到一家游客的房子里参观，海景房啊，真的很好，海豚表演嘛，木有看到，就是关在几个池子里，有点失望，不是期待中的室内海豚表演。
48374,1,分界洲岛环境确实棒，商业开发速度也太快了，很快就不输蜈支岛了。熟不知游客要的就是原始生态的环境，把便民设施做足就可以了。这次主要去钓鱼，2个人钓了一下午，只有珊瑚鱼闹窝。。。。圆满结束旅途！
48392,1,"海南岛是一个不错的渡假好去处,希望此行不会失望,我会常来的."
47637,1,挺不错的 取票很方便。拿手机直接进
47640,1,出票快，不用换纸质票，点击出票短信中的链接，凭二维码就能登船，非常方便，满意
47655,1,分界洲岛沙滩沙子比较细，比蜈支洲岛好，蜈支洲到沙滩上都是死贝壳，踩着隔脚！
47659,1,跟团游交通解决了，门票解决了，价格实惠，不纠结带你到景区购物点的可以订购。
47661,1,分界洲岛风景真美，取票很方便
47698,1,挺方便，到了岛还有人联系
47699,1,挺好的，非常的快，十分的方便快捷
47700,1,途牛定的机票和酒店还是蛮方便的 感谢工作人员的服务
47701,1,看了这里的海 让人有冲动想要在此拍婚纱照 景色真的很美 野生动物表演不错 有只不听话的可爱小海狮 怕热只愿呆水里 驯养员很温柔地循循善诱 好一副和谐的相处画面 特温馨
47703,1,不错，小孩票。进去后自己搭项目。
47708,1,凭二维码就能登船上岛 很方便 
47709,1,很好，最高点景色不错，去的时候是寒假，所以人也好多
47710,1,挺不错的，扫二维码直接上船进岛
47755,1,途牛出票快捷，使用验证码和预订人身份证即可入园，很方便！全潜值得一看！途牛很方便，套票很优惠！
47762,1,预订便捷，帮朋友一起订了票，不错
47773,1,水很清澈，山顶风景不错
47774,1,不用取票，用二维码可以直接进去坐船，到岛上换票，比较方便，就是送的餐要早点去吃，下午5点后就没了，不过，饭店的态度很不错，我们去晚了没饭了，饭店还说可以做要等一下，我们急着坐船走等不了，就送我们了两个椰子。很不错。岛上人不算多。
47777,1,比景区售价优惠15元，不用排队，就在机器上取，方便快捷
47781,1,景美水美，服务员特别热情
47782,1,分界洲岛特别唯美，人不太多
47795,1,不错，比现场买票省了个门船票
47798,1,太喜欢这了，环境好，水好
47799,1,分界洲岛是一个很美丽的小岛屿，和好友们相聚在这里爬山，玩海，乐此不疲，途牛出票很快，五分钟出票，中间订单下错，我还退了一次，受理的也比较快，已经快成途牛的铁粉了，下次旅行出游还找途牛
47800,1,不错速度快 前一天定的第二天就能用
47801,1,不变的服务，快捷方便，一如既往的支持你们
47816,1,感觉岛上景色不错，不过主要浏览区人工开发太明显，个人感觉一般，后山那里倒是比较惊艳，另外岛上末班船到晚上6点，至少没有说明，差点没返回来！需要特别注意下！另外赠送的海螺姑娘表演不在岛上，据说在三亚市里，后期也懒得找了，没有过去。
47817,1,值得一看，一界两片天，不用出票，直接扫手机码出行
47821,1,很值得一去的小岛，水好沙细，门票优惠力度再大一些 就更好了
47935,1,当天临时决定去分界洲，火速订票，，开车过去后顺利取票，相当便捷。
47936,1,非常方便，以后还会订
47937,1,买完了会收到个短信，然后点开短信里的链接就会出现个二维码拿着这个二维码直接去入口就可以了 工作人员会帮你扫 然后就可以进去登船了。
47939,1,很好玩，海水非常蓝，非常漂亮！
47940,1,很不错价格实惠，方便。推荐使用。
47942,1,景色很美，取票方便，就是天气太热啦！送的四选一套餐也不错，
47953,1,景色不错，值得一去。
47957,1,挺好的。方便快捷。临时定的，电子刷二维码进入景区的
47976,1,分界洲岛很美，很静谧，很喜欢! 景致多，处处是景，不晒，有阴凉处。
47979,1,挺好玩的～风景好看，非常喜欢
47982,1,非常方便，直接扫描二维码就可以了不用取票，价格比售票处便宜
47994,1,不错，环境真的特别好，都不想走了
47997,1,还是相当方便的。扫码就进去了
48013,1,景色很美，推荐潜水，
48019,1,第一次网上订票，没想到快且便宜，随时可订，退票也方便，感觉很好，以后就网上订了。
48021,1,景色超级美，值得一逛，还有免费巴士
48022,1,不错还很方便，5点好评
48037,1,带父母旅行，听说蜈支洲岛人特别多，所以选择了分界洲岛，当天风很大，有点小凉，岛上景色很美，需要登上山顶众揽全景，有老人可以选择电瓶车，不是很高，走下来一个小时左右。岛上有各种项目，可根据喜好，还有小朋友喜欢的海豹海狮表演，都是另收费的，总体感觉不错！
48039,1,环境很好，水也很清澈，不过沙滩面积有点小
48042,1,方便快捷，价格优惠。
48075,1,网上下单方便快捷，省去排队购票之苦
48076,1,本地身份证到景区购票优惠更大，网上购票进入后看别人才知道！
48080,1,在景区门口不需要取票，凭二维码就可以上船，但在里面取海洋世界的票非常不容易，排队人多，而且没有提示，导致排错队又重新排，以后短信提醒可以说一下是哪个窗口领取么？取票口的提示也可以明显点啊，完全不知道怎么网络兑票…
48082,1,很不错的小岛，风景很美，可以潜水，可以爬山，还看到很多情侣在拍婚纱照。唯一的遗憾是那天阴天，如果晴天，那就太完美了~~~
48083,1,不用在景区等票，直接拿手机进场就行
48086,1,天气超好，表演很精彩，早去人少，海水很蓝
48090,1,很棒 很好玩 水很蓝 海风吹起很舒服 到了山顶景色也很棒棒 满分
48092,1,带了三位70以上的老人免票，一张成人，很划算，景色不错，玩得很好
48095,1,挺好的，方便、快捷。
48097,1,很好途牛很方便，订票好立马就出
48099,1,很好玩，价格实惠，推荐
48102,1,很不错，很方便，一定要上山，风景尽收眼底
48103,1,风景非常不错，人少，就是去的时候高速修路
48109,1,客服很给力，取票方便
48111,1,特别好，方便快捷，而且比去了买票便宜，特赞一下
48112,1,风景确实不错，客流量也不算多。不过要是打算去蜈支洲岛的话，这里可以不来。
48143,1,岛上挺美的，唯一的不足是门票上岛可以免费喝咖啡，我付过钱才知道，晕
48169,1,预订很快！！！客服也很耐心！！总体来说感觉挺不错的下次还在途牛预订
48170,1,景区的确不错，就是人多了点，总体景色很值得欣赏
48172,1,非常满意的一次出游，取票很方便。还赠送了饮品。下次还继续。
48184,1,风景不错，海豚表演时间是15分钟，感觉不如大连老虎潭的精彩
48186,1,订票方便，单独窗口取票，不怎么排队，很快
48189,1,景区环境还算优美！山腰处有些餐厅位置和福龟滩的一处餐厅看海景特美！海水也算清澈，但沙子不细腻，也太多杂质！
48192,1,这次吸取了上次的教训先提前两个小时购票，进去景区很顺利，我带8岁小孩和两个70岁以上老人出游，而我只买了两张成人门票，本以为免门票价钱能比网上优惠点，到那才发现一张船票就135元，比网上贵多了，小孩的半票加起来更贵，还不如一起买了。
48204,1,出票很快，景点游客太多，但仍值得一去。途牛很方便好用。
48205,1,很方便，网上约定一小时不到就可以去景区取票。服务很好，景区景色宜人，值得一去！
48206,1,拖伞没玩成，风浪大，退票超级慢，岛上风光美
48209,1,风景很美，很值得去。爬上山顶看风景更美，天气也很棒。很满意，就是取票的时候出了一点小状况，其它的都很满意。
48210,1,分界洲好美！！电话预定超级方便，昨天玩的很开心，以后旅游就锁定途牛了！
48225,1,我是在当天8点多订的票，当时还有点害怕到了地方拿不到票，没想到非常顺利，非常快！第一次在途牛订票，感觉还挺不错的。
48294,1,很满意，速度快，价格合理，手续简便。下次还会通过途牛订购产品。
48296,1,，价格优惠，取票也很方便。
48340,1,价格还行 分界洲岛也很漂亮 可以当天预约这一点着实很方便 之前还在怀疑是否可行 结果很惊喜 没有海豚表演有点遗憾 总体还是不错的 赞一个
48343,1,岛上的海景很美，我们玩得很开心，遗憾就是没有看到海豚表演
48344,1,+不错，很方便，的确比现场买便宜很多！下次还会在网上提前预定！
48347,1,订票很方便，支付也很快捷，可以选用支付宝快捷支付，在景区直接到5号窗口换票，我只提前了半个小时订票，到景区后当时景区没有收到传真，怀着忐忑的心情打了官方电话，两分钟内解决问题，那速度真叫一个快。最关键的，门票加船票原价是168元呢，一下子省了78元，心里那个爽。不过这里提醒其它游客，去的时候如果打的，跟司机谈价格时特意说明一下你的票已经订好，如果拿原价票，司机会有积分奖励的，他一般给你报的价格低一些，如果你是团的票，他没有奖励，车票这块他会提价，所以事先讲明，以免事后扯皮。
48361,1,风景真美，海水很纯净，还算新开发的景点，商业化气息不是很重。
48362,1,非常漂亮的景点！超好看！只是身体欠佳，要能参加潜水就更好了！
48365,1,景点门票船票优惠一半以上，很给力。以后会经常上途牛网。
48372,1,方便又实惠 可以再次选择
48376,1,，非常好，取票方便，价格便宜！
47996,1,景区非常漂亮干净，海水超级清澈，最最重要的是海边椰子店的服务，冰沙便宜，还买一赠一，在里面喝喝饮品不仅可以休息，还能欣赏美女帅哥的现场演唱，太完美了，唯一有点缺憾的是景区关门太早，夏天七点半关门下岛就完美了
48000,1,不错哦，景色比蜈支洲好多了，水质也非常棒，推荐游玩
48033,1,分界洲岛很小，可能是只开发了三分之一。不过海水比蜈支洲还要清澈。岛上吃的东西挺多，比蜈支洲略便宜
48093,1,风景挺好的，水干净，拖伞不好玩，香蕉船还可以
48094,1,风景不错，水比较干净，水上项目比较多
48211,1,水浴场清澈透明环境优美舒适海水浴场清澈透明就是海豚表演时间短
47635,1,还不错，就是浮潜是近海的，如果是深海就更好了
47760,1,带孩子，主要看海豚表演，座个车上山，风景很美！听说水上项目比蜈之洲便宜。
47761,1,带孩子去的，动物表演很不错，其他的没有多逛，一般般吧
47802,1,分界洲岛的娱乐项目很好！！
47814,1,很值得去的景点，太漂亮了，海洋剧场特别推荐带孩子去
47938,1,感觉比蜈支洲岛好玩。项目比较多，人少～
47995,1,景区不错，潜水就是不拍照的话时间有点短，排水下照片呢，清晰度不太好，不知是不是技术原因哈，水下水很清澈，带面罩潜水舒服！
48079,1,还不错，不过也只有海豚海狮表演，珊瑚馆，海底捞瓷器有点看头，海边玩的东西哪里都有。
47657,1,为109号王教练打call，服务非常好，本来很紧张，在他一对一指导下，看见了海底的美丽！十分感谢109王教练，五星！100号教练，是教我老公的，也非常好！非常辛苦！五星！
47779,1,出票快，服务到位，短信凭证
48018,1,检票时出了点小状况，不过客服处理很积极。
48081,1,预定和取票非常方便，景区服务也很好
48108,1,不错不错，服务细致耐心，订票快捷方便。
48148,1,服务不错，真的挺好。呵呵
48295,1,满意，服务很不错！赞一个。
47837,-1,还可以，就是吃的东西不是很好！
47993,-1,分界洲岛很美，水很清，适合派写真，婚纱照，不足之处就是交通不便，竟然没有公交来回陵水到分界洲
48107,-1,景区也没有什么好看的，跟鹿回头景区差不多。
48341,-1,分界洲岛岛屿很小，个人感觉比网上的评价差。我们由于主要是老人儿童为主，因此在岛上只参观了海豚湾，老人慢慢地爬了会儿山，孩子从海豚湾出来就一直在福龟滩玩沙。其他的游乐项目没玩。这里的沙滩沙子粗糙还有不少建筑杂物掺杂其中，没有我们住的香水湾的沙滩细软干净。不过爬到山顶看海景还是不错的。
47959,-1,门票偏贵，旅行团人比较多
48074,-1,海底观赏性不强，第一次体验还行！
48098,-1,满心欢喜去了，景色太一般般了，比蜈支洲岛差太太多了。
48104,-1,风景还行，可惜海滩泳场最深的地方只有1.2米左右，底下又很多石头，而且面积超小，又没有浪。太菜了，还不如博鳌免费的海滩。
48145,-1,首先没有扫码必须窗口去取票，而很多人不知道预订要提前2小时的事，刚下单就在那排队，排到了一查没他订单，又打电话又和窗口交涉，浪费了其他人大量时间，本来几分钟能解决的，足足排了快一小时。水上娱乐项目是不错的，就是春节没折扣，排队的人又非常多，一天玩下来（来回三亚得时间算上）玩不了几个项目。建议首先避开春节高峰期，其次真喜欢水上娱乐项目的，索性住岛上海钓别墅，这样时间充裕，山顶的风景也非常不错，晚上还可以泡泡沙滩音乐酒吧，参加篝火晚会，一天三亚要来回的话还是去蜈支洲岛吧。
48146,-1,请问，没有用这张票，怎样退？
48165,-1,预订优惠比大众高100元，说预订后2小时生效，到景点门口已3小时订单还没过来，联系客服后还算解决及时。
48167,-1,评价内容同上，退票到还是能按期退回。门票优惠力度不够大。
48168,-1,取票排队时间较长，可能是因为春节期间吧；70岁以上的老人门票没有优惠不合理；一张身份证只能在网上购票一次，网页上没有提示，造成多次购票但不能出票，又在景区窗口买票和网上退票的麻烦。
48188,-1,景点太差，途牛还是很好的，景区各方面都不怎样
48191,-1,还可以。不知道什么原因，第一次取票没有成功，身份证、订单号、验证码都出示过。打了客服电话，又排了二十分钟队（人不多，办理速度慢），才取票成功。客服反复说到5号窗口取，可那只售散客票，还是6号窗口取的。
48207,-1,"一般,很无奈的一次经历,到景区票兑换不了.多次沟通才解决"
48230,-1,，取票窗口提示错误
48293,-1,但是出票有些慢 不过客服态度还可以 希望以后能改进
48299,-1,景区出票太慢太慢
48363,-1,虽然这次出票慢点，但孩子玩得很高兴就算了
48369,-1,预定成功几天都不出票，然后到景区网上对票点很不顺利，网站和景区没有沟通好，让我们在景区门口等了一个多小时才能出票进入景区，浪费我们游玩的时间和旅行的心情，不知道网站如何跟景区沟通的，希望下次改进！
47696,-1,一点也不好 之前去了蜈支洲岛和凤凰岛 都比这里好 我们住了别墅 很破很旧 年久失修的感觉
47818,-1,亲子游还可以，就是海底太脏了，不知该说什么
48183,-1,景点没想到这么差，脏 乱 差 海水不够蓝 不够绿
47634,-1,太坑人了 买的海洋剧场和潜艇套票 下午去的 说剧场是赠送的 只能先去潜艇 潜艇到水里基本看不见东西 上岸海洋剧场也表演结束了 体验很一般 不如只买门票船票去趟趟水了
47654,-1,浮潜现场导游提供的现场呼吸用塑料咬嘴30元一个，太黑了，估计就两块钱的东西，小孩用的呼吸用具还要租，60元一次，浮潜票都买了为什么还要花钱买这些，太他妈黑了
47813,-1,分界洲实在是太小了，出乎意料，不玩水上项目基本就没什么可看的。
47834,-1,全潜艇建议大家不要买了，在水底什么都看不到的，除了几条跟随潜艇游的小鱼，一片模糊。失望至极
47835,-1,呵呵，千万不要定这个，谁定谁后悔，想坐潜水艇在岸边等了半小时，然后坐船去水上平台又是等半小时，那天风很大，吹了一个小时风大家都感冒了，好不容易进去潜水艇里面闷的要死，都缺氧，海水一片浑浊只能看到几条很小的鱼，可能景区觉得这样骗钱怕投诉找了个潜水员来安抚一下，可笑
47934,-1,那个海底观光建议大家就别去了，在下面就看到几条小鱼。。。真心不值。。。
47956,-1,下饺子一样人太多 排队太久 海水浑浊 水下时间短 说好的远海深潜其实离沙滩很近
47960,-1,不建议带老人来，没有适合老人的项目。上岛后各种项目就是花钱啊！潜水我和孩子一共就960元，而且排队到玩要3个多小时。
